position,Frequency_Hz,Magnitude_dB,Phase_deg,Color,STI,STI_Degradation_%
TheHub-MidRoom,6594.74,-8.74,-157.89,#9467bd,0.79,16.46
TheHub-MidRoom,6618.77,-8.15,-157.65,#9467bd,0.79,16.46
TheHub-MidRoom,6642.89,-7.24,-157.42,#9467bd,0.79,16.46
TheHub-MidRoom,6667.1,-8.97,-157.21,#9467bd,0.79,16.46
TheHub-MidRoom,6691.39,-8.43,-157.01,#9467bd,0.79,16.46
TheHub-MidRoom,6715.78,-7.27,-156.83,#9467bd,0.79,16.46
TheHub-MidRoom,6740.25,-9.17,-156.66,#9467bd,0.79,16.46
TheHub-MidRoom,6764.81,-8.47,-156.51,#9467bd,0.79,16.46
TheHub-MidRoom,6789.47,-7.36,-156.38,#9467bd,0.79,16.46
TheHub-MidRoom,6814.21,-8.93,-156.27,#9467bd,0.79,16.46
TheHub-MidRoom,6839.04,-7.89,-156.18,#9467bd,0.79,16.46
TheHub-MidRoom,6863.96,-6.72,-156.12,#9467bd,0.79,16.46
TheHub-MidRoom,6888.98,-8.92,-156.07,#9467bd,0.79,16.46
TheHub-MidRoom,6914.08,-7.52,-156.05,#9467bd,0.79,16.46
TheHub-MidRoom,6939.28,-8.2,-156.05,#9467bd,0.79,16.46
TheHub-MidRoom,6964.57,-8.52,-156.08,#9467bd,0.79,16.46
TheHub-MidRoom,6989.95,-7.73,-156.13,#9467bd,0.79,16.46
TheHub-MidRoom,7015.42,-7.82,-156.2,#9467bd,0.79,16.46
TheHub-MidRoom,7040.99,-8.34,-156.3,#9467bd,0.79,16.46
TheHub-MidRoom,7066.64,-7.83,-156.43,#9467bd,0.79,16.46
TheHub-MidRoom,7092.4,-7.95,-156.58,#9467bd,0.79,16.46
TheHub-MidRoom,7118.24,-7.8,-156.76,#9467bd,0.79,16.46
TheHub-MidRoom,7144.18,-7.87,-156.97,#9467bd,0.79,16.46
TheHub-MidRoom,7170.22,-8.38,-157.2,#9467bd,0.79,16.46
TheHub-MidRoom,7196.35,-8.07,-157.46,#9467bd,0.79,16.46
TheHub-MidRoom,7222.57,-7.64,-157.75,#9467bd,0.79,16.46
TheHub-MidRoom,7248.89,-7.66,-158.07,#9467bd,0.79,16.46
TheHub-MidRoom,7275.31,-8.12,-158.41,#9467bd,0.79,16.46
TheHub-MidRoom,7301.82,-8.44,-158.78,#9467bd,0.79,16.46
TheHub-MidRoom,7328.43,-7.72,-159.17,#9467bd,0.79,16.46
TheHub-MidRoom,7355.14,-8.51,-159.59,#9467bd,0.79,16.46
TheHub-MidRoom,7381.94,-7.51,-160.04,#9467bd,0.79,16.46
TheHub-MidRoom,7408.84,-7.94,-160.51,#9467bd,0.79,16.46
TheHub-MidRoom,7435.84,-8.09,-161.0,#9467bd,0.79,16.46
TheHub-MidRoom,7462.94,-8.24,-161.51,#9467bd,0.79,16.46
TheHub-MidRoom,7490.14,-9.11,-162.05,#9467bd,0.79,16.46
TheHub-MidRoom,7517.43,-8.46,-162.61,#9467bd,0.79,16.46
TheHub-MidRoom,7544.83,-7.52,-163.19,#9467bd,0.79,16.46
TheHub-MidRoom,7572.32,-7.05,-163.79,#9467bd,0.79,16.46
TheHub-MidRoom,7599.92,-7.67,-164.41,#9467bd,0.79,16.46
TheHub-MidRoom,7627.61,-7.51,-165.04,#9467bd,0.79,16.46
TheHub-MidRoom,7655.41,-7.34,-165.69,#9467bd,0.79,16.46
TheHub-MidRoom,7683.31,-8.17,-166.35,#9467bd,0.79,16.46
TheHub-MidRoom,7711.31,-7.81,-167.03,#9467bd,0.79,16.46
TheHub-MidRoom,7739.41,-7.94,-167.71,#9467bd,0.79,16.46
TheHub-MidRoom,7767.61,-7.79,-168.41,#9467bd,0.79,16.46
TheHub-MidRoom,7795.92,-7.44,-169.11,#9467bd,0.79,16.46
TheHub-MidRoom,7824.33,-7.78,-169.82,#9467bd,0.79,16.46
TheHub-MidRoom,7852.84,-7.97,-170.53,#9467bd,0.79,16.46
TheHub-MidRoom,7881.46,-7.55,-171.24,#9467bd,0.79,16.46
TheHub-MidRoom,7910.18,-8.88,-171.96,#9467bd,0.79,16.46
TheHub-MidRoom,7939.01,-7.21,-172.67,#9467bd,0.79,16.46
TheHub-MidRoom,7967.94,-8.33,-173.38,#9467bd,0.79,16.46
TheHub-MidRoom,7996.97,-6.69,-174.08,#9467bd,0.79,16.46
TheHub-MidRoom,8026.12,-7.6,-174.78,#9467bd,0.79,16.46
TheHub-MidRoom,8055.37,-7.27,-175.47,#9467bd,0.79,16.46
TheHub-MidRoom,8084.72,-7.55,-176.14,#9467bd,0.79,16.46
TheHub-MidRoom,8114.18,-7.57,-176.8,#9467bd,0.79,16.46
TheHub-MidRoom,8143.75,-7.18,-177.45,#9467bd,0.79,16.46
TheHub-MidRoom,8173.43,-6.78,-178.08,#9467bd,0.79,16.46
TheHub-MidRoom,8203.22,-8.01,-178.69,#9467bd,0.79,16.46
TheHub-MidRoom,8233.11,-7.78,-179.28,#9467bd,0.79,16.46
TheHub-MidRoom,8263.11,-7.41,-179.84,#9467bd,0.79,16.46
TheHub-MidRoom,8293.23,-7.48,179.62,#9467bd,0.79,16.46
TheHub-MidRoom,8323.45,-8.0,179.1,#9467bd,0.79,16.46
TheHub-MidRoom,8353.78,-8.31,178.62,#9467bd,0.79,16.46
TheHub-MidRoom,8384.22,-8.11,178.16,#9467bd,0.79,16.46
TheHub-MidRoom,8414.78,-8.8,177.74,#9467bd,0.79,16.46
TheHub-MidRoom,8445.44,-7.35,177.35,#9467bd,0.79,16.46
TheHub-MidRoom,8476.22,-7.88,176.99,#9467bd,0.79,16.46
TheHub-MidRoom,8507.11,-8.32,176.67,#9467bd,0.79,16.46
TheHub-MidRoom,8538.11,-6.82,176.38,#9467bd,0.79,16.46
TheHub-MidRoom,8569.22,-7.65,176.13,#9467bd,0.79,16.46
TheHub-MidRoom,8600.45,-6.79,175.92,#9467bd,0.79,16.46
TheHub-MidRoom,8631.79,-7.77,175.75,#9467bd,0.79,16.46
TheHub-MidRoom,8663.25,-6.4,175.62,#9467bd,0.79,16.46
TheHub-MidRoom,8694.82,-7.63,175.53,#9467bd,0.79,16.46
TheHub-MidRoom,8726.51,-7.99,175.48,#9467bd,0.79,16.46
TheHub-MidRoom,8758.31,-6.79,175.46,#9467bd,0.79,16.46
TheHub-MidRoom,8790.22,-7.33,175.49,#9467bd,0.79,16.46
TheHub-MidRoom,8822.26,-7.71,175.56,#9467bd,0.79,16.46
TheHub-MidRoom,8854.41,-6.88,175.67,#9467bd,0.79,16.46
TheHub-MidRoom,8886.68,-8.57,175.81,#9467bd,0.79,16.46
TheHub-MidRoom,8919.06,-7.97,176.0,#9467bd,0.79,16.46
TheHub-MidRoom,8951.56,-7.26,176.22,#9467bd,0.79,16.46
TheHub-MidRoom,8984.18,-7.29,176.47,#9467bd,0.79,16.46
TheHub-MidRoom,9016.92,-7.77,176.76,#9467bd,0.79,16.46
TheHub-MidRoom,9049.78,-7.87,177.09,#9467bd,0.79,16.46
TheHub-MidRoom,9082.76,-6.97,177.44,#9467bd,0.79,16.46
TheHub-MidRoom,9115.86,-7.03,177.83,#9467bd,0.79,16.46
TheHub-MidRoom,9149.08,-7.37,178.24,#9467bd,0.79,16.46
TheHub-MidRoom,9182.42,-8.44,178.67,#9467bd,0.79,16.46
TheHub-MidRoom,9215.89,-7.9,179.13,#9467bd,0.79,16.46
TheHub-MidRoom,9249.47,-7.71,179.61,#9467bd,0.79,16.46
TheHub-MidRoom,9283.18,-6.99,-179.89,#9467bd,0.79,16.46
TheHub-MidRoom,9317.01,-7.27,-179.37,#9467bd,0.79,16.46
TheHub-MidRoom,9350.96,-6.96,-178.85,#9467bd,0.79,16.46
TheHub-MidRoom,9385.04,-7.72,-178.31,#9467bd,0.79,16.46
TheHub-MidRoom,9419.24,-7.1,-177.77,#9467bd,0.79,16.46
TheHub-MidRoom,9453.56,-7.23,-177.23,#9467bd,0.79,16.46
TheHub-MidRoom,9488.01,-7.44,-176.68,#9467bd,0.79,16.46
TheHub-MidRoom,9522.59,-6.68,-176.14,#9467bd,0.79,16.46
TheHub-MidRoom,9557.29,-8.04,-175.61,#9467bd,0.79,16.46
TheHub-MidRoom,9592.12,-8.22,-175.09,#9467bd,0.79,16.46
TheHub-MidRoom,9627.08,-7.32,-174.58,#9467bd,0.79,16.46
TheHub-MidRoom,9662.16,-7.63,-174.09,#9467bd,0.79,16.46
TheHub-MidRoom,9697.37,-7.84,-173.61,#9467bd,0.79,16.46
TheHub-MidRoom,9732.71,-7.55,-173.16,#9467bd,0.79,16.46
TheHub-MidRoom,9768.18,-7.32,-172.74,#9467bd,0.79,16.46
TheHub-MidRoom,9803.78,-8.06,-172.35,#9467bd,0.79,16.46
TheHub-MidRoom,9839.5,-7.89,-171.99,#9467bd,0.79,16.46
TheHub-MidRoom,9875.36,-7.83,-171.67,#9467bd,0.79,16.46
TheHub-MidRoom,9911.35,-7.27,-171.39,#9467bd,0.79,16.46
TheHub-MidRoom,9947.47,-7.38,-171.14,#9467bd,0.79,16.46
TheHub-MidRoom,9983.72,-6.8,-170.94,#9467bd,0.79,16.46
TheHub-MidRoom,10020.1,-6.86,-170.79,#9467bd,0.79,16.46
TheHub-MidRoom,10056.61,-8.4,-170.69,#9467bd,0.79,16.46
TheHub-MidRoom,10093.26,-7.72,-170.63,#9467bd,0.79,16.46
TheHub-MidRoom,10130.04,-8.05,-170.63,#9467bd,0.79,16.46
TheHub-MidRoom,10166.96,-8.35,-170.68,#9467bd,0.79,16.46
TheHub-MidRoom,10204.01,-7.38,-170.79,#9467bd,0.79,16.46
TheHub-MidRoom,10241.2,-7.8,-170.95,#9467bd,0.79,16.46
TheHub-MidRoom,10278.52,-7.25,-171.17,#9467bd,0.79,16.46
TheHub-MidRoom,10315.97,-7.59,-171.44,#9467bd,0.79,16.46
TheHub-MidRoom,10353.57,-7.05,-171.77,#9467bd,0.79,16.46
TheHub-MidRoom,10391.3,-8.52,-172.15,#9467bd,0.79,16.46
TheHub-MidRoom,10429.17,-7.42,-172.59,#9467bd,0.79,16.46
TheHub-MidRoom,10467.17,-7.74,-173.08,#9467bd,0.79,16.46
TheHub-MidRoom,10505.32,-7.07,-173.62,#9467bd,0.79,16.46
TheHub-MidRoom,10543.6,-8.16,-174.21,#9467bd,0.79,16.46
TheHub-MidRoom,10582.02,-8.0,-174.85,#9467bd,0.79,16.46
TheHub-MidRoom,10620.59,-8.07,-175.54,#9467bd,0.79,16.46
TheHub-MidRoom,10659.29,-7.15,-176.27,#9467bd,0.79,16.46
TheHub-MidRoom,10698.13,-7.26,-177.03,#9467bd,0.79,16.46
TheHub-MidRoom,10737.12,-7.05,-177.84,#9467bd,0.79,16.46
TheHub-MidRoom,10776.25,-6.71,-178.67,#9467bd,0.79,16.46
TheHub-MidRoom,10815.52,-6.94,-179.54,#9467bd,0.79,16.46
TheHub-MidRoom,10854.93,-7.34,179.57,#9467bd,0.79,16.46
TheHub-MidRoom,10894.49,-7.58,178.66,#9467bd,0.79,16.46
TheHub-MidRoom,10934.19,-5.81,177.73,#9467bd,0.79,16.46
TheHub-MidRoom,10974.04,-7.23,176.8,#9467bd,0.79,16.46
TheHub-MidRoom,11014.03,-7.33,175.86,#9467bd,0.79,16.46
TheHub-MidRoom,11054.17,-7.0,174.91,#9467bd,0.79,16.46
TheHub-MidRoom,11094.45,-7.27,173.98,#9467bd,0.79,16.46
TheHub-MidRoom,11134.88,-6.85,173.05,#9467bd,0.79,16.46
TheHub-MidRoom,11175.46,-7.78,172.14,#9467bd,0.79,16.46
TheHub-MidRoom,11216.18,-7.11,171.24,#9467bd,0.79,16.46
TheHub-MidRoom,11257.06,-7.32,170.38,#9467bd,0.79,16.46
TheHub-MidRoom,11298.08,-6.97,169.54,#9467bd,0.79,16.46
TheHub-MidRoom,11339.25,-6.59,168.74,#9467bd,0.79,16.46
TheHub-MidRoom,11380.58,-6.96,167.98,#9467bd,0.79,16.46
TheHub-MidRoom,11422.05,-7.19,167.27,#9467bd,0.79,16.46
TheHub-MidRoom,11463.67,-6.45,166.61,#9467bd,0.79,16.46
TheHub-MidRoom,11505.45,-6.5,166.0,#9467bd,0.79,16.46
TheHub-MidRoom,11547.38,-7.01,165.45,#9467bd,0.79,16.46
TheHub-MidRoom,11589.46,-7.22,164.96,#9467bd,0.79,16.46
TheHub-MidRoom,11631.69,-7.28,164.53,#9467bd,0.79,16.46
TheHub-MidRoom,11674.08,-6.43,164.18,#9467bd,0.79,16.46
TheHub-MidRoom,11716.62,-5.55,163.89,#9467bd,0.79,16.46
TheHub-MidRoom,11759.32,-6.99,163.67,#9467bd,0.79,16.46
TheHub-MidRoom,11802.18,-6.18,163.53,#9467bd,0.79,16.46
TheHub-MidRoom,11845.18,-6.6,163.46,#9467bd,0.79,16.46
TheHub-MidRoom,11888.35,-6.78,163.47,#9467bd,0.79,16.46
TheHub-MidRoom,11931.67,-7.0,163.55,#9467bd,0.79,16.46
TheHub-MidRoom,11975.16,-7.35,163.7,#9467bd,0.79,16.46
TheHub-MidRoom,12018.8,-7.48,163.92,#9467bd,0.79,16.46
TheHub-MidRoom,12062.59,-6.75,164.22,#9467bd,0.79,16.46
TheHub-MidRoom,12106.55,-6.24,164.57,#9467bd,0.79,16.46
TheHub-MidRoom,12150.67,-6.76,165.0,#9467bd,0.79,16.46
TheHub-MidRoom,12194.95,-6.33,165.48,#9467bd,0.79,16.46
TheHub-MidRoom,12239.39,-6.73,166.02,#9467bd,0.79,16.46
TheHub-MidRoom,12284.0,-5.92,166.61,#9467bd,0.79,16.46
TheHub-MidRoom,12328.76,-6.6,167.24,#9467bd,0.79,16.46
TheHub-MidRoom,12373.69,-6.15,167.92,#9467bd,0.79,16.46
TheHub-MidRoom,12418.78,-5.86,168.62,#9467bd,0.79,16.46
TheHub-MidRoom,12464.04,-5.68,169.36,#9467bd,0.79,16.46
TheHub-MidRoom,12509.46,-6.32,170.11,#9467bd,0.79,16.46
TheHub-MidRoom,12555.05,-6.14,170.88,#9467bd,0.79,16.46
TheHub-MidRoom,12600.8,-5.27,171.65,#9467bd,0.79,16.46
TheHub-MidRoom,12646.72,-5.52,172.42,#9467bd,0.79,16.46
TheHub-MidRoom,12692.81,-6.81,173.18,#9467bd,0.79,16.46
TheHub-MidRoom,12739.06,-4.95,173.92,#9467bd,0.79,16.46
TheHub-MidRoom,12785.48,-5.6,174.64,#9467bd,0.79,16.46
TheHub-MidRoom,12832.08,-6.2,175.32,#9467bd,0.79,16.46
TheHub-MidRoom,12878.84,-6.09,175.96,#9467bd,0.79,16.46
TheHub-MidRoom,12925.77,-6.64,176.55,#9467bd,0.79,16.46
TheHub-MidRoom,12972.88,-6.12,177.09,#9467bd,0.79,16.46
TheHub-MidRoom,13020.15,-5.77,177.56,#9467bd,0.79,16.46
TheHub-MidRoom,13067.6,-6.44,177.97,#9467bd,0.79,16.46
TheHub-MidRoom,13115.22,-5.92,178.3,#9467bd,0.79,16.46
TheHub-MidRoom,13163.02,-5.3,178.55,#9467bd,0.79,16.46
TheHub-MidRoom,13210.99,-6.6,178.72,#9467bd,0.79,16.46
TheHub-MidRoom,13259.13,-6.15,178.8,#9467bd,0.79,16.46
TheHub-MidRoom,13307.45,-6.29,178.79,#9467bd,0.79,16.46
TheHub-MidRoom,13355.94,-5.86,178.69,#9467bd,0.79,16.46
TheHub-MidRoom,13404.61,-6.86,178.49,#9467bd,0.79,16.46
TheHub-MidRoom,13453.46,-5.7,178.2,#9467bd,0.79,16.46
TheHub-MidRoom,13502.49,-6.61,177.81,#9467bd,0.79,16.46
TheHub-MidRoom,13551.7,-6.16,177.33,#9467bd,0.79,16.46
TheHub-MidRoom,13601.08,-6.69,176.76,#9467bd,0.79,16.46
TheHub-MidRoom,13650.65,-6.21,176.1,#9467bd,0.79,16.46
TheHub-MidRoom,13700.39,-5.98,175.36,#9467bd,0.79,16.46
TheHub-MidRoom,13750.32,-6.55,174.54,#9467bd,0.79,16.46
TheHub-MidRoom,13800.43,-6.97,173.65,#9467bd,0.79,16.46
TheHub-MidRoom,13850.72,-6.47,172.69,#9467bd,0.79,16.46
TheHub-MidRoom,13901.19,-6.59,171.67,#9467bd,0.79,16.46
TheHub-MidRoom,13951.85,-5.35,170.61,#9467bd,0.79,16.46
TheHub-MidRoom,14002.7,-6.18,169.5,#9467bd,0.79,16.46
TheHub-MidRoom,14053.72,-6.96,168.36,#9467bd,0.79,16.46
TheHub-MidRoom,14104.94,-5.09,167.2,#9467bd,0.79,16.46
TheHub-MidRoom,14156.34,-6.66,166.03,#9467bd,0.79,16.46
TheHub-MidRoom,14207.93,-5.79,164.86,#9467bd,0.79,16.46
TheHub-MidRoom,14259.71,-6.38,163.7,#9467bd,0.79,16.46
TheHub-MidRoom,14311.67,-6.33,162.57,#9467bd,0.79,16.46
TheHub-MidRoom,14363.83,-5.7,161.47,#9467bd,0.79,16.46
TheHub-MidRoom,14416.17,-6.05,160.41,#9467bd,0.79,16.46
TheHub-MidRoom,14468.71,-6.07,159.41,#9467bd,0.79,16.46
TheHub-MidRoom,14521.43,-6.49,158.47,#9467bd,0.79,16.46
TheHub-MidRoom,14574.35,-6.5,157.61,#9467bd,0.79,16.46
TheHub-MidRoom,14627.46,-5.02,156.83,#9467bd,0.79,16.46
TheHub-MidRoom,14680.77,-6.07,156.14,#9467bd,0.79,16.46
TheHub-MidRoom,14734.27,-5.68,155.55,#9467bd,0.79,16.46
TheHub-MidRoom,14787.96,-6.54,155.07,#9467bd,0.79,16.46
TheHub-MidRoom,14841.85,-5.46,154.7,#9467bd,0.79,16.46
TheHub-MidRoom,14895.94,-6.38,154.44,#9467bd,0.79,16.46
TheHub-MidRoom,14950.22,-4.0,154.3,#9467bd,0.79,16.46
TheHub-MidRoom,15004.71,-5.3,154.27,#9467bd,0.79,16.46
TheHub-MidRoom,15059.39,-5.37,154.37,#9467bd,0.79,16.46
TheHub-MidRoom,15114.26,-5.9,154.58,#9467bd,0.79,16.46
TheHub-MidRoom,15169.34,-6.08,154.91,#9467bd,0.79,16.46
TheHub-MidRoom,15224.62,-5.72,155.34,#9467bd,0.79,16.46
TheHub-MidRoom,15280.11,-5.49,155.88,#9467bd,0.79,16.46
TheHub-MidRoom,15335.79,-6.2,156.51,#9467bd,0.79,16.46
TheHub-MidRoom,15391.68,-5.76,157.23,#9467bd,0.79,16.46
TheHub-MidRoom,15447.77,-6.64,158.03,#9467bd,0.79,16.46
TheHub-MidRoom,15504.06,-5.45,158.89,#9467bd,0.79,16.46
TheHub-MidRoom,15560.56,-5.5,159.81,#9467bd,0.79,16.46
TheHub-MidRoom,15617.27,-6.24,160.77,#9467bd,0.79,16.46
TheHub-MidRoom,15674.18,-5.29,161.76,#9467bd,0.79,16.46
TheHub-MidRoom,15731.3,-6.18,162.76,#9467bd,0.79,16.46
TheHub-MidRoom,15788.63,-6.22,163.76,#9467bd,0.79,16.46
TheHub-MidRoom,15846.16,-5.94,164.74,#9467bd,0.79,16.46
TheHub-MidRoom,15903.91,-5.6,165.68,#9467bd,0.79,16.46
TheHub-MidRoom,15961.87,-5.11,166.59,#9467bd,0.79,16.46
TheHub-MidRoom,16020.04,-5.15,167.42,#9467bd,0.79,16.46
TheHub-MidRoom,16078.42,-6.32,168.19,#9467bd,0.79,16.46
TheHub-MidRoom,16137.01,-5.86,168.86,#9467bd,0.79,16.46
TheHub-MidRoom,16195.82,-5.4,169.43,#9467bd,0.79,16.46
TheHub-MidRoom,16254.84,-5.04,169.9,#9467bd,0.79,16.46
TheHub-MidRoom,16314.07,-6.06,170.23,#9467bd,0.79,16.46
TheHub-MidRoom,16373.52,-6.05,170.44,#9467bd,0.79,16.46
TheHub-MidRoom,16433.19,-5.29,170.51,#9467bd,0.79,16.46
TheHub-MidRoom,16493.08,-5.22,170.44,#9467bd,0.79,16.46
TheHub-MidRoom,16553.18,-6.24,170.23,#9467bd,0.79,16.46
TheHub-MidRoom,16613.51,-5.73,169.87,#9467bd,0.79,16.46
TheHub-MidRoom,16674.05,-5.44,169.37,#9467bd,0.79,16.46
TheHub-MidRoom,16734.81,-5.52,168.73,#9467bd,0.79,16.46
TheHub-MidRoom,16795.8,-6.0,167.96,#9467bd,0.79,16.46
TheHub-MidRoom,16857.0,-6.19,167.06,#9467bd,0.79,16.46
TheHub-MidRoom,16918.43,-5.28,166.05,#9467bd,0.79,16.46
TheHub-MidRoom,16980.09,-6.52,164.93,#9467bd,0.79,16.46
TheHub-MidRoom,17041.97,-5.67,163.72,#9467bd,0.79,16.46
TheHub-MidRoom,17104.07,-5.66,162.44,#9467bd,0.79,16.46
TheHub-MidRoom,17166.4,-6.26,161.11,#9467bd,0.79,16.46
TheHub-MidRoom,17228.96,-5.12,159.73,#9467bd,0.79,16.46
TheHub-MidRoom,17291.75,-4.83,158.33,#9467bd,0.79,16.46
TheHub-MidRoom,17354.76,-5.49,156.94,#9467bd,0.79,16.46
TheHub-MidRoom,17418.0,-5.76,155.56,#9467bd,0.79,16.46
TheHub-MidRoom,17481.48,-6.15,154.22,#9467bd,0.79,16.46
TheHub-MidRoom,17545.19,-5.63,152.95,#9467bd,0.79,16.46
TheHub-MidRoom,17609.12,-5.55,151.75,#9467bd,0.79,16.46
TheHub-MidRoom,17673.29,-5.68,150.64,#9467bd,0.79,16.46
TheHub-MidRoom,17737.7,-5.27,149.66,#9467bd,0.79,16.46
TheHub-MidRoom,17802.34,-5.61,148.8,#9467bd,0.79,16.46
TheHub-MidRoom,17867.21,-5.49,148.08,#9467bd,0.79,16.46
TheHub-MidRoom,17932.33,-5.08,147.52,#9467bd,0.79,16.46
TheHub-MidRoom,17997.68,-6.18,147.12,#9467bd,0.79,16.46
TheHub-MidRoom,18063.26,-5.95,146.89,#9467bd,0.79,16.46
TheHub-MidRoom,18129.09,-5.62,146.83,#9467bd,0.79,16.46
TheHub-MidRoom,18195.15,-5.2,146.95,#9467bd,0.79,16.46
TheHub-MidRoom,18261.46,-5.61,147.23,#9467bd,0.79,16.46
TheHub-MidRoom,18328.01,-5.43,147.68,#9467bd,0.79,16.46
TheHub-MidRoom,18394.8,-5.27,148.29,#9467bd,0.79,16.46
TheHub-MidRoom,18461.83,-6.06,149.03,#9467bd,0.79,16.46
TheHub-MidRoom,18529.11,-5.25,149.91,#9467bd,0.79,16.46
TheHub-MidRoom,18596.64,-6.17,150.91,#9467bd,0.79,16.46
TheHub-MidRoom,18664.41,-6.16,151.99,#9467bd,0.79,16.46
TheHub-MidRoom,18732.42,-6.3,153.15,#9467bd,0.79,16.46
TheHub-MidRoom,18800.69,-5.71,154.35,#9467bd,0.79,16.46
TheHub-MidRoom,18869.2,-5.39,155.58,#9467bd,0.79,16.46
TheHub-MidRoom,18937.97,-6.32,156.8,#9467bd,0.79,16.46
TheHub-MidRoom,19006.98,-5.11,157.99,#9467bd,0.79,16.46
TheHub-MidRoom,19076.24,-5.29,159.14,#9467bd,0.79,16.46
TheHub-MidRoom,19145.76,-5.44,160.2,#9467bd,0.79,16.46
TheHub-MidRoom,19215.53,-5.41,161.15,#9467bd,0.79,16.46
TheHub-MidRoom,19285.56,-4.5,161.99,#9467bd,0.79,16.46
TheHub-MidRoom,19355.84,-5.35,162.67,#9467bd,0.79,16.46
TheHub-MidRoom,19426.37,-5.18,163.19,#9467bd,0.79,16.46
TheHub-MidRoom,19497.17,-5.52,163.53,#9467bd,0.79,16.46
TheHub-MidRoom,19568.22,-4.99,163.67,#9467bd,0.79,16.46
TheHub-MidRoom,19639.53,-6.42,163.62,#9467bd,0.79,16.46
TheHub-MidRoom,19711.1,-5.45,163.36,#9467bd,0.79,16.46
TheHub-MidRoom,19782.93,-5.22,162.9,#9467bd,0.79,16.46
TheHub-MidRoom,19855.02,-6.11,162.24,#9467bd,0.79,16.46
TheHub-MidRoom,19927.38,-5.9,161.39,#9467bd,0.79,16.46
TheHub-MidRoom,20000.0,-5.1,160.36,#9467bd,0.79,16.46
TheHub-BackCorner,20.0,-24.01,-36.15,#1f77b4,0.8,16.11
TheHub-BackCorner,20.07,-23.68,-36.09,#1f77b4,0.8,16.11
TheHub-BackCorner,20.15,-22.38,-36.03,#1f77b4,0.8,16.11
TheHub-BackCorner,20.22,-23.09,-35.97,#1f77b4,0.8,16.11
TheHub-BackCorner,20.29,-23.25,-35.91,#1f77b4,0.8,16.11
TheHub-BackCorner,20.37,-22.96,-35.85,#1f77b4,0.8,16.11
TheHub-BackCorner,20.44,-22.72,-35.79,#1f77b4,0.8,16.11
TheHub-BackCorner,20.52,-23.4,-35.72,#1f77b4,0.8,16.11
TheHub-BackCorner,20.59,-23.24,-35.66,#1f77b4,0.8,16.11
TheHub-BackCorner,20.67,-23.8,-35.6,#1f77b4,0.8,16.11
TheHub-BackCorner,20.74,-22.96,-35.53,#1f77b4,0.8,16.11
TheHub-BackCorner,20.82,-22.54,-35.47,#1f77b4,0.8,16.11
TheHub-BackCorner,20.89,-23.05,-35.4,#1f77b4,0.8,16.11
TheHub-BackCorner,20.97,-23.63,-35.34,#1f77b4,0.8,16.11
TheHub-BackCorner,21.04,-22.87,-35.27,#1f77b4,0.8,16.11
TheHub-BackCorner,21.12,-22.04,-35.21,#1f77b4,0.8,16.11
TheHub-BackCorner,21.2,-22.08,-35.14,#1f77b4,0.8,16.11
TheHub-BackCorner,21.28,-22.87,-35.07,#1f77b4,0.8,16.11
TheHub-BackCorner,21.35,-22.56,-35.0,#1f77b4,0.8,16.11
TheHub-BackCorner,21.43,-21.9,-34.93,#1f77b4,0.8,16.11
TheHub-BackCorner,21.51,-22.64,-34.86,#1f77b4,0.8,16.11
TheHub-BackCorner,21.59,-22.76,-34.79,#1f77b4,0.8,16.11
TheHub-BackCorner,21.67,-22.94,-34.72,#1f77b4,0.8,16.11
TheHub-BackCorner,21.75,-22.45,-34.65,#1f77b4,0.8,16.11
TheHub-BackCorner,21.82,-23.15,-34.58,#1f77b4,0.8,16.11
TheHub-BackCorner,21.9,-22.42,-34.51,#1f77b4,0.8,16.11
TheHub-BackCorner,21.98,-22.56,-34.43,#1f77b4,0.8,16.11
TheHub-BackCorner,22.06,-23.66,-34.36,#1f77b4,0.8,16.11
TheHub-BackCorner,22.14,-22.27,-34.29,#1f77b4,0.8,16.11
TheHub-BackCorner,22.23,-22.01,-34.21,#1f77b4,0.8,16.11
TheHub-BackCorner,22.31,-22.58,-34.13,#1f77b4,0.8,16.11
TheHub-BackCorner,22.39,-21.7,-34.06,#1f77b4,0.8,16.11
TheHub-BackCorner,22.47,-23.1,-33.98,#1f77b4,0.8,16.11
TheHub-BackCorner,22.55,-22.86,-33.9,#1f77b4,0.8,16.11
TheHub-BackCorner,22.63,-22.17,-33.82,#1f77b4,0.8,16.11
TheHub-BackCorner,22.72,-22.55,-33.75,#1f77b4,0.8,16.11
TheHub-BackCorner,22.8,-22.12,-33.67,#1f77b4,0.8,16.11
TheHub-BackCorner,22.88,-22.87,-33.58,#1f77b4,0.8,16.11
TheHub-BackCorner,22.96,-22.46,-33.5,#1f77b4,0.8,16.11
TheHub-BackCorner,23.05,-22.88,-33.42,#1f77b4,0.8,16.11
TheHub-BackCorner,23.13,-21.98,-33.34,#1f77b4,0.8,16.11
TheHub-BackCorner,23.22,-20.99,-33.26,#1f77b4,0.8,16.11
TheHub-BackCorner,23.3,-21.58,-33.17,#1f77b4,0.8,16.11
TheHub-BackCorner,23.39,-21.85,-33.09,#1f77b4,0.8,16.11
TheHub-BackCorner,23.47,-21.08,-33.0,#1f77b4,0.8,16.11
TheHub-BackCorner,23.56,-21.57,-32.91,#1f77b4,0.8,16.11
TheHub-BackCorner,23.64,-22.08,-32.83,#1f77b4,0.8,16.11
